weight,age,height,size
62,28,172.72,14
59,36,167.64,12
61,34,165.1,8
65,27,175.26,12
62,45,172.72,8
50,27,160.02,6
53,65,160.02,8
51,33,160.02,2
54,26,167.64,8
53,32,165.1,6
63,30,170.18,18
77,35,172.72,18
64,26,165.1,12
52,28,160.02,8
65,33,165.1,12
63,30,167.64,12
54,21,167.64,2
63,27,172.72,8
63,30,167.64,8
54,20,167.64,6
55,32,154.94,6
55,37,160.02,8
55,50,165.1,6
50,43,160.02,8
74,29,177.8,14
64,32,160.02,14
58,29,167.64,2
54,47,165.1,8
58,31,154.94,14
65,27,172.72,12
47,43,157.48,6
61,27,165.1,8
58,29,172.72,8
86,48,172.72,18
68,36,162.56,14
65,27,170.18,12
65,34,170.18,12
54,40,157.48,8
52,45,154.94,8
52,30,170.18,6
58,52,162.56,18
78,37,175.26,18
61,34,172.72,12
49,24,167.64,6
61,28,162.56,8
64,34,162.56,18
63,25,167.64,6
56,32,157.48,8
50,27,170.18,6
77,29,172.72,18
58,32,165.1,12
65,33,165.1,12
61,33,167.64,14
56,36,175.26,8
81,27,165.1,18
49,30,162.56,8
58,29,162.56,12
72,28,162.56,12
63,28,172.72,8
58,33,157.48,14
65,29,165.1,14
60,27,167.64,14
68,28,167.64,12
70,32,175.26,14
63,36,157.48,14
58,36,165.1,6
79,49,167.64,18
49,40,157.48,8
56,22,157.48,6
59,35,175.26,6
50,32,154.94,2
53,33,162.56,6
56,32,165.1,8
113,27,167.64,18
88,30,162.56,18
68,42,165.1,14
74,53,157.48,18
104,34,154.94,18
58,33,162.56,6
61,30,172.72,8
61,69,154.94,18
54,34,160.02,6
65,36,167.64,12
70,35,167.64,18
54,31,162.56,8
52,31,172.72,2
63,33,167.64,12
70,23,147.32,18
79,32,170.18,18
49,17,167.64,6
57,37,157.48,8
95,43,172.72,18
72,50,170.18,18
58,24,170.18,8
74,31,170.18,14
54,36,170.18,6
77,30,167.64,14
63,53,167.64,8
99,44,172.72,18
62,30,177.8,8
81,33,185.42,18
56,32,162.56,12
55,26,170.18,6
61,30,170.18,14
65,27,167.64,14
61,31,170.18,8
65,33,167.64,12
58,29,162.56,12
72,44,175.26,18
63,27,162.56,14
65,47,170.18,12
63,31,175.26,8
80,41,170.18,18
63,23,162.56,12
58,23,180.34,14
71,23,170.18,14
53,29,160.02,8
81,59,162.56,18
83,30,162.56,18
63,34,172.72,8
54,29,157.48,6
95,30,160.02,18
56,28,165.1,8
61,33,165.1,6
74,31,157.48,18
70,26,154.94,12
72,52,170.18,18
62,29,162.56,12
59,39,160.02,12
52,27,157.48,2
90,59,162.56,18
72,20,167.64,18
63,30,165.1,14
63,37,172.72,8
47,28,154.94,2
58,29,157.48,8
65,33,167.64,12
62,30,157.48,8
62,24,175.26,8
63,33,157.48,14
68,42,167.64,14
59,31,162.56,8
56,30,172.72,6
58,33,160.02,8
58,31,157.48,8
65,29,172.72,12
65,29,180.34,14
68,29,162.56,14
65,32,172.72,12
77,43,172.72,18
53,28,157.48,2
58,36,175.26,8
54,37,152.4,8
53,42,167.64,6
54,41,162.56,6
66,41,170.18,12
52,42,165.1,6
53,32,170.18,6
58,53,160.02,12
56,33,162.56,8
56,33,170.18,12
56,52,162.56,8
63,31,172.72,14
65,52,152.4,18
58,38,167.64,12
63,39,175.26,14
54,23,162.56,8
58,29,167.64,8
70,34,170.18,14
58,30,167.64,8
46,28,152.4,2
58,28,157.48,6
79,51,162.56,18
54,29,165.1,6
61,32,162.56,8
54,33,154.94,6
58,26,170.18,8
72,30,177.8,12
58,46,167.64,12
56,26,165.1,6
62,52,162.56,8
61,38,154.94,18
63,32,172.72,8
61,31,162.56,8
64,41,162.56,12
50,30,154.94,2
54,34,162.56,8
56,23,175.26,6
61,31,175.26,6
52,39,167.64,2
65,30,175.26,8
65,38,160.02,12
50,52,160.02,12
53,28,152.4,6
68,46,162.56,14
52,31,157.48,6
95,24,175.26,18
65,34,177.8,14
58,32,160.02,6
61,30,160.02,8
73,35,167.64,18
59,36,162.56,8
74,46,167.64,18
90,31,165.1,18
70,45,157.48,18
65,53,162.56,14
53,32,165.1,6
58,33,160.02,12
49,34,160.02,2
50,28,165.1,6
53,43,167.64,8
54,27,165.1,8
77,36,167.64,18
54,27,157.48,8
65,50,172.72,18
65,26,172.72,12
68,37,170.18,14
78,29,167.64,18
58,24,180.34,2
58,31,157.48,12
68,30,170.18,18
70,46,165.1,18
65,26,175.26,12
48,40,152.4,2
54,27,157.48,6
55,27,170.18,8
55,41,157.48,12
61,47,160.02,14
61,30,172.72,8
65,31,175.26,8
60,28,170.18,8
58,35,167.64,14
68,30,162.56,8
112,38,175.26,18
61,45,162.56,14
54,34,165.1,6
58,45,172.72,8
68,30,167.64,14
58,31,162.56,8
58,30,170.18,6
79,27,177.8,12
56,38,170.18,6
49,39,157.48,6
69,40,175.26,18
61,43,167.64,8
69,31,172.72,14
72,36,175.26,14
61,37,160.02,12
54,23,167.64,2
60,35,170.18,14
50,48,162.56,2
66,49,162.56,12
58,50,162.56,12
61,33,162.56,12
52,29,167.64,2
64,34,175.26,12
54,51,167.64,6
52,22,154.94,6
68,49,180.34,14
56,32,167.64,6
70,34,160.02,14
55,38,162.56,6
70,24,162.56,18
77,28,160.02,18
56,39,167.64,8
72,40,175.26,14
83,50,165.1,18
68,29,160.02,14
56,42,165.1,8
59,37,154.94,14
77,31,175.26,18
79,30,177.8,18
77,34,162.56,12
54,34,165.1,6
61,33,177.8,8
63,33,165.1,14
61,32,157.48,8
46,31,152.4,2
81,30,170.18,18
58,35,162.56,8
52,30,165.1,6
61,26,170.18,8
53,37,170.18,14
61,51,167.64,12
54,32,165.1,6
58,33,167.64,6
65,28,165.1,12
81,39,180.34,18
54,30,165.1,2
74,36,170.18,18
56,32,165.1,12
52,28,167.64,2
56,34,180.34,8
81,33,162.56,18
63,29,170.18,8
54,32,160.02,12
61,34,162.56,12
61,34,165.1,12
65,37,160.02,12
50,32,162.56,2
58,35,170.18,6
58,34,175.26,6
52,47,160.02,8
58,53,160.02,8
90,40,170.18,18
70,23,180.34,8
65,29,162.56,14
55,26,162.56,6
58,25,167.64,14
70,36,175.26,6
52,40,172.72,2
58,27,162.56,8
68,41,162.56,18
57,28,165.1,6
65,36,165.1,18
54,25,152.4,8
58,38,172.72,8
63,29,162.56,12
77,34,167.64,18
65,29,170.18,14
62,41,172.72,12
58,43,162.56,8
77,31,172.72,18
65,40,177.8,14
68,28,175.26,8
64,32,175.26,14
52,34,167.64,6
58,40,170.18,8
61,32,172.72,8
63,38,172.72,8
68,28,167.64,14
56,34,160.02,8
52,24,180.34,2
61,32,175.26,6
72,20,165.1,8
53,38,160.02,6
72,32,162.56,14
63,30,172.72,8
56,45,165.1,12
65,25,152.4,14
54,43,160.02,6
52,28,160.02,2
81,36,162.56,18
84,31,165.1,18
61,46,177.8,8
45,30,162.56,2
61,45,162.56,14
54,36,157.48,8
57,44,157.48,8
56,48,165.1,8
58,43,170.18,6
52,28,162.56,6
56,30,165.1,6
52,29,154.94,6
52,35,160.02,6
58,32,175.26,8
58,29,152.4,8
79,30,162.56,18
70,44,170.18,18
56,41,162.56,6
55,34,154.94,8
63,27,170.18,8
58,27,157.48,8
55,29,162.56,6
72,35,165.1,18
70,31,167.64,14
52,40,157.48,6
58,32,160.02,12
58,29,160.02,8
54,31,162.56,2
55,26,162.56,6
68,31,167.64,14
53,21,157.48,12
53,30,160.02,6
58,53,170.18,12
61,26,160.02,8
63,34,170.18,12
72,45,170.18,18
62,54,167.64,12
65,37,172.72,18
54,35,157.48,8
54,28,157.48,2
61,29,165.1,8
61,27,162.56,12
70,36,172.72,12
65,25,142.24,12
81,25,172.72,18
65,39,167.64,12
65,24,167.64,12
53,49,162.56,2
46,59,157.48,2
54,32,170.18,2
56,43,172.72,8
68,30,152.4,18
68,30,165.1,8
61,34,162.56,12
61,23,172.72,14
61,39,170.18,12
61,25,165.1,6
72,33,172.72,18
54,39,157.48,8
68,33,182.88,8
54,27,165.1,6
63,35,167.64,12
68,29,160.02,14
58,47,154.94,8
58,34,165.1,8
61,35,170.18,6
70,42,160.02,14
58,25,175.26,6
77,39,175.26,18
73,38,177.8,18
65,33,167.64,14
58,34,162.56,6
58,28,152.4,12
65,24,170.18,12
65,50,162.56,14
97,43,162.56,18
55,28,157.48,6
54,48,162.56,8
65,29,172.72,12
56,62,162.56,8
50,29,152.4,6
63,49,170.18,12
63,35,177.8,8
68,40,175.26,18
53,58,172.72,8
53,32,154.94,8
68,29,172.72,12
65,40,170.18,12
56,36,167.64,8
53,33,154.94,6
58,28,157.48,8
65,38,180.34,12
55,35,167.64,6
52,35,167.64,2
74,42,167.64,18
54,31,165.1,6
62,38,172.72,14
52,30,167.64,2
79,51,167.64,18
75,38,182.88,18
65,34,170.18,8
65,36,157.48,18
58,39,167.64,14
68,34,167.64,14
70,28,177.8,12
70,37,167.64,18
45,25,157.48,2
65,25,167.64,14
86,53,160.02,18
50,43,152.4,8
58,49,157.48,12
53,29,167.64,6
43,44,157.48,6
58,32,162.56,8
54,27,172.72,6
72,30,157.48,18
52,28,154.94,8
61,29,162.56,8
68,34,170.18,18
58,42,170.18,12
48,30,160.02,2
56,31,152.4,12
54,27,165.1,8
61,25,162.56,8
70,33,160.02,18
62,33,167.64,12
56,32,165.1,6
56,34,162.56,6
47,28,160.02,2
68,37,167.64,14
58,37,162.56,6
61,41,160.02,12
56,29,167.64,2
56,33,165.1,8
81,38,187.96,18
56,25,165.1,14
61,29,165.1,8
65,37,172.72,12
72,29,172.72,18
63,34,175.26,12
68,38,160.02,18
46,31,157.48,2
58,40,162.56,8
64,27,165.1,8
65,19,167.64,12
49,31,162.56,6
55,43,170.18,6
70,31,167.64,14
72,27,167.64,14
56,30,160.02,8
58,26,162.56,8
62,31,167.64,14
68,30,167.64,14
63,28,172.72,14
58,27,160.02,12
63,38,160.02,14
56,26,162.56,8
58,30,165.1,6
63,24,170.18,8
52,50,162.56,6
65,31,167.64,14
70,32,172.72,18
58,31,172.72,8
67,29,172.72,14
58,36,162.56,8
52,24,160.02,6
54,24,152.4,12
52,28,162.56,6
58,35,170.18,6
70,37,170.18,18
